model,model_name,param,class_no,variable,value
structural,binary,pis,1,Y_proclDui_r,0.46476203047967385
structural,binary,pis,1,Y_proclRob_r,0.6579980577583997
structural,binary,pis,1,Y_proclKill_r,0.2106924419597748
structural,binary,pis,1,Y_proclProstitute_r,0.5952808575960563
structural,binary,pis,1,Y_proclRape_r,0.13333990666331755
structural,binary,pis,1,Y_proclZoo_r,0.007938889627583668
structural,binary,pis,1,Y_proclPublic_r,0.3519569282393124
structural,binary,pis,1,Y_proclPornChild_r,0.01082120401837346
structural,binary,pis,1,Y_proclPornChildDarknet_r,0.009618002372033514
structural,binary,pis,1,Y_proclChatChild_r,0.011320343672969317
structural,binary,pis,1,Y_proclGiftChild_r,0.0016170617267086574
structural,binary,pis,1,Y_proclSexChild_r,0.005242284423528397
structural,binary,pis,1,Y_proclPornYp_r,0.15212367273224967
structural,binary,pis,1,Y_proclChatYp_r,0.14099263363862868
structural,binary,pis,1,Y_proclGiftYp_r,0.04479472512198717
structural,binary,pis,1,Y_proclSexYp_r,0.2075391388080233
structural,binary,pis,2,Y_proclSpeed_r,0.9219185203096338
structural,binary,pis,2,Y_proclDui_r,0.29710574473325113
structural,binary,pis,2,Y_proclRob_r,0.5197113054618506
structural,binary,pis,2,Y_proclKill_r,0.19634051622643867
structural,binary,pis,2,Y_proclProstitute_r,0.5616787496013824
structural,binary,pis,2,Y_proclRape_r,0.11481575802499283
structural,binary,pis,2,Y_proclZoo_r,0.020464179097759144
structural,binary,pis,2,Y_proclPublic_r,0.2987035424634884
structural,binary,pis,2,Y_proclPornChild_r,0.009553489830495965
structural,binary,pis,2,Y_proclPornChildDarknet_r,0.0037647060402553035
structural,binary,pis,2,Y_proclChatChild_r,0.014341776046411571
structural,binary,pis,2,Y_proclGiftChild_r,1e-15
structural,binary,pis,2,Y_proclSexChild_r,1e-15
structural,binary,pis,2,Y_proclPornYp_r,0.1729076271316932
structural,binary,pis,2,Y_proclChatYp_r,0.170047083661701
structural,binary,pis,2,Y_proclGiftYp_r,0.0425229520070972
structural,binary,pis,2,Y_proclSexYp_r,0.22595167369985583
