,n_classes,loglikelihood,aics,bics,sabics,relative_entropies,n_parameters,convergence
0,1,-16.314230838799826,41301.74709880836,41538.24437443648,41720.62395869391,,46,True
1,2,-15.919572012460765,40398.838903475895,40876.97469985449,41245.698641940166,0.6724514570019737,93,True
2,3,-15.610528402887631,39712.194745694156,40431.96906282323,40987.03736273714,0.7069923243994323,140,True
3,4,-15.539077258699436,39625.709155474775,40587.12199335432,41328.534651096474,0.675481275744118,187,True
4,5,-15.498811790530914,39617.99858288109,40821.049941511104,41748.806957081506,0.670254963084423,234,True
5,6,-15.462556799826546,39620.418476361854,41065.10835574234,42179.20972914099,0.682215941818024,281,False
6,7,-15.437579547498203,39651.32593698046,41337.65433711142,42638.1000683383,0.6956613535369113,328,True
