,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,Val. Log Likelihood
0,0.018701950709025066,0.019213634529181532,0.011349201202392578,0.007354395744719356,1,{'n_components': 1},113013.19935508413,218776.37372865868,376277.82532195176,236022.46613523155,108166.95921534362,7,236022.46613523155
1,0.24170827865600586,0.17064292898631583,0.005406300226847331,0.005843126861062883,2,{'n_components': 2},113013.54873753525,218776.70313995983,376278.256617876,236022.8361651237,108166.99568128139,6,236022.8361651237
2,0.6778848171234131,0.45980984911984496,0.0,0.0,3,{'n_components': 3},113013.79308655474,218777.02301282526,376278.5068146382,236023.1076380061,108166.99419495335,1,236023.1076380061
3,0.8042686780293783,0.3106098406170792,0.008838017781575521,0.006529142738244706,4,{'n_components': 4},113013.83272129577,218776.9932542781,376278.4913995801,236023.105791718,108166.97408941084,2,236023.105791718
4,0.5428052743275961,0.14443827509846502,0.002173264821370443,0.0030734605850104217,5,{'n_components': 5},113013.82603557556,218777.00517802525,376278.4151545188,236023.08212270655,108166.94303553159,3,236023.08212270655
5,1.322027047475179,0.5135758641222418,0.0021721522013346353,0.003071887102666015,6,{'n_components': 6},113013.7515727642,218776.98495591315,376278.4747791208,236023.07043593272,108166.99810791953,4,236023.07043593272
6,1.8340617815653484,0.21310740182421076,0.0034805933634440103,0.0026783164730866775,7,{'n_components': 7},113013.65624484455,218776.90266854293,376278.46234586113,236023.0070864162,108167.03324348445,5,236023.0070864162
