CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
1166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1235,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1346,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1391,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1413,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1435,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1436,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1458,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1459,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1472,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1520,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1531,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1616,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1643,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1647,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1723,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1737,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1741,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1764,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1807,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1808,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1888,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1
1978,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
