,n_classes,loglikelihood,n_parameters,aics,bics,sabics,relative_entropies,n_parameters,convergence
0,1,-12.31369482257149,40,35050.89329610303,35261.229782126844,35424.50041332745,,40,True
1,2,-12.079247276641471,81,34467.06226566178,34892.99364986,35223.61667804123,0.6496830296853016,81,True
2,3,-11.861646032382788,122,33931.07473196712,34572.60101433975,35070.57643950161,0.6739706372351683,122,True
3,4,-11.77834234813469,163,33776.49226870252,34633.613449249555,35298.94127139204,0.6557258325577652,163,True
4,5,-11.774757502923004,204,33848.31130830133,34921.027387022776,35753.70760614588,0.6514068531127981,204,False
5,6,-11.767793139370774,245,33910.532515813,35198.84349270885,36198.87610881258,0.6364642841035979,245,False
6,7,-11.781133714552341,286,34030.41974932865,35534.32562439891,36701.710637483266,0.6949866080679896,286,False
