model,model_name,param,class_no,variable,value
structural,binary,pis,1,Y_proclZoo_r,0.0009340343801172486
structural,binary,pis,1,Y_proclPublic_r,0.08010106631059366
structural,binary,pis,1,Y_proclPornChild_r,1e-15
structural,binary,pis,1,Y_proclPornChildDarknet_r,1e-15
structural,binary,pis,1,Y_proclChatChild_r,0.0043671255926221
structural,binary,pis,1,Y_proclGiftChild_r,1e-15
structural,binary,pis,1,Y_proclSexChild_r,1e-15
structural,binary,pis,1,Y_proclPornYp_r,0.01571152313426361
structural,binary,pis,1,Y_proclChatYp_r,0.024616953910827494
structural,binary,pis,1,Y_proclGiftYp_r,0.002503382057922726
structural,binary,pis,1,Y_proclSexYp_r,0.05576841606374478
structural,binary,pis,2,Y_proclSpeed_r,0.9534554358044721
structural,binary,pis,2,Y_proclDui_r,0.6664454962177048
structural,binary,pis,2,Y_proclRob_r,0.7645684007310094
structural,binary,pis,2,Y_proclKill_r,0.3145801569199148
structural,binary,pis,2,Y_proclProstitute_r,0.3658793754444967
structural,binary,pis,2,Y_proclRape_r,0.0541220687851654
structural,binary,pis,2,Y_proclZoo_r,0.02964441314701909
structural,binary,pis,2,Y_proclPublic_r,0.3802315279845072
structural,binary,pis,2,Y_proclPornChild_r,0.028767920574606115
structural,binary,pis,2,Y_proclPornChildDarknet_r,0.02454763209515539
structural,binary,pis,2,Y_proclChatChild_r,0.0136842824521606
structural,binary,pis,2,Y_proclGiftChild_r,0.005183924901509022
structural,binary,pis,2,Y_proclSexChild_r,0.010367849803018045
structural,binary,pis,2,Y_proclPornYp_r,0.10728050114827249
structural,binary,pis,2,Y_proclChatYp_r,0.11496414671826123
structural,binary,pis,2,Y_proclGiftYp_r,0.014413850583178124
structural,binary,pis,2,Y_proclSexYp_r,0.1397254553739395
