CASE,sexdrive2,meffort,socialanx,lon,mvalue,attr,CSBD,PPCS_6
10566,3,1,1,2,2,0,1,2
10569,2,1,1,1,3,0,2,1
10589,2,4,3,1,1,0,2,1
10591,2,4,1,3,1,0,2,1
10601,1,2,3,4,2,0,2,2
10605,2,3,1,2,2,0,1,2
10621,3,3,1,2,3,0,1,1
10633,2,3,2,1,3,0,1,2
10635,2,2,3,2,1,1,2,2
10639,2,4,1,2,4,0,2,1
10648,3,2,1,1,3,0,1,1
10696,1,2,4,3,2,0,2,2
10698,4,3,1,2,4,0,2,1
10704,1,1,4,2,1,0,2,1
10713,2,4,1,2,2,0,1,1
10718,4,1,3,4,1,0,2,2
10720,2,2,3,3,2,0,1,1
10725,2,1,1,3,3,0,2,1
10731,2,4,2,1,3,0,1,1
10734,3,2,3,1,1,0,1,1
10742,3,4,1,2,2,0,2,1
10750,2,2,4,4,1,0,1,1
10758,3,1,3,4,3,0,2,2
10767,1,1,4,4,2,0,2,2
10776,1,4,1,2,4,0,2,2
10783,1,2,4,1,4,0,1,1
10786,2,2,4,4,1,0,2,2
10797,2,2,3,1,4,0,2,1
10801,4,4,3,3,2,0,1,1
10815,4,2,4,4,2,0,1,1
10816,2,2,1,1,4,0,1,1
10823,2,2,1,3,4,0,1,1
10828,2,2,4,3,2,0,2,1
10830,2,3,3,3,3,0,2,2
10833,2,3,3,3,4,0,1,1
10840,2,3,1,1,3,0,1,1
10848,1,4,4,4,4,0,2,2
10861,3,4,3,3,3,0,1,2
10885,3,2,1,1,4,0,1,1
10904,2,4,1,1,4,0,1,1
10913,4,1,1,3,3,0,2,1
10916,3,2,3,2,4,0,2,2
10920,2,4,1,1,1,0,2,2
10956,3,3,4,3,3,0,1,2
10957,1,4,2,1,1,0,1,1
10960,3,1,2,3,1,0,1,1
10962,3,3,1,2,2,0,2,2
10966,3,4,3,3,1,0,2,1
10970,3,4,3,3,2,0,1,1
10976,1,2,4,4,1,0,1,1
10981,3,4,1,1,2,0,1,2
11002,3,2,3,2,1,0,2,1
11004,1,1,2,1,1,0,1,1
11016,2,1,2,2,3,0,2,2
11023,4,3,2,3,4,0,2,1
11025,3,1,4,3,2,0,1,1
11032,2,1,4,2,3,0,1,2
11041,4,1,1,1,4,0,1,2
11045,4,3,1,2,3,0,1,1
11068,3,1,2,4,3,1,2,2
11074,2,2,1,3,2,0,1,1
11076,4,4,1,2,4,0,2,1
11081,3,4,3,4,4,0,2,1
11108,3,4,1,2,2,0,2,2
11124,3,3,1,2,1,0,2,1
11125,3,4,3,1,3,0,2,2
11129,4,2,1,1,2,0,1,1
11136,2,2,3,4,4,0,1,1
11139,3,2,1,2,3,0,2,1
11149,3,2,3,4,3,0,2,2
11159,3,2,3,4,4,0,2,2
11169,2,1,1,4,3,0,1,1
11170,4,3,3,2,3,0,2,2
11178,1,2,4,3,1,0,2,2
11183,3,4,1,3,2,0,1,2
11188,2,2,3,2,3,0,1,1
11195,2,4,1,1,4,0,1,1
11197,1,2,4,2,4,0,2,1
11200,3,4,3,4,2,0,2,2
11209,4,2,1,2,2,0,2,2
11213,3,3,3,2,1,0,1,1
11217,1,2,4,4,1,0,2,1
11226,1,3,4,4,1,0,2,2
11229,1,2,3,2,1,0,1,1
11239,3,2,4,4,1,0,2,1
11241,3,2,3,4,4,0,2,2
11242,2,3,1,1,1,0,2,1
11243,1,1,3,4,3,0,1,2
11251,3,4,1,4,1,0,2,1
11255,1,4,1,2,3,0,1,1
11263,1,3,1,3,3,0,1,1
11269,2,4,1,3,4,0,1,1
11273,1,3,3,3,2,0,1,2
11287,3,4,3,1,3,0,2,2
11288,1,2,4,4,1,0,1,1
11293,1,3,2,4,1,0,2,1
11296,4,1,1,1,3,0,1,1
11306,2,2,3,3,4,0,1,1
11311,4,4,3,4,2,0,2,1
11323,1,2,2,1,2,0,1,1
11330,1,3,1,1,1,0,2,1
11335,3,1,2,3,2,0,2,2
11337,1,3,3,2,1,0,1,1
11346,3,3,2,4,2,0,1,1
11357,1,2,2,3,2,0,1,2
11367,1,1,3,4,1,0,1,1
11377,1,2,2,1,4,0,1,1
11381,2,3,2,1,2,0,2,1
11392,3,1,1,4,2,0,2,1
11401,3,3,3,1,4,0,1,2
11415,3,2,3,2,1,0,1,1
11418,3,4,3,1,4,0,2,2
11423,1,4,2,1,4,0,2,1
11433,2,3,1,1,2,0,1,1
11434,2,4,2,3,2,0,2,1
11436,3,2,4,1,1,0,2,2
11440,1,4,1,1,3,0,1,2
11442,3,2,3,4,2,0,1,1
11445,1,3,3,3,2,0,2,1
11446,1,2,3,4,1,0,2,2
11447,1,3,2,2,4,0,1,1
11451,3,3,1,4,2,0,2,2
11462,4,1,2,4,1,0,1,2
11468,3,2,3,3,4,0,1,1
11471,2,3,2,2,4,0,1,1
11473,1,2,2,3,2,0,2,2
11479,2,4,2,1,2,0,1,2
11483,4,3,2,4,1,0,2,1
11499,3,4,1,1,3,0,1,2
11517,2,3,4,4,1,0,2,2
11532,4,3,3,2,2,0,2,1
11546,3,2,3,3,1,0,2,1
11561,4,3,1,1,2,0,1,1
11567,3,2,1,3,4,0,1,1
11568,3,3,3,4,2,0,2,2
11573,3,3,1,1,1,0,2,1
11575,1,4,1,3,4,0,2,2
11591,4,3,4,4,1,0,2,2
11601,3,4,1,1,4,0,2,1
11603,4,4,1,1,4,0,2,2
11607,1,4,3,3,1,0,2,2
11612,4,2,1,1,4,0,1,2
11626,2,1,3,4,1,0,2,2
11628,3,2,3,1,1,0,2,1
11635,1,2,3,3,1,1,1,1
11641,1,4,3,4,1,0,1,1
11652,1,2,1,1,4,0,1,1
11653,3,3,1,3,2,0,1,2
11659,2,1,2,1,3,0,2,2
11661,2,2,4,2,1,0,1,1
11663,1,3,2,2,2,0,1,1
11667,3,2,2,3,4,0,2,1
11668,1,3,3,1,4,0,2,1
11670,4,1,1,1,1,0,1,1
11683,4,3,4,1,3,0,2,2
11684,1,1,4,4,3,0,1,1
11701,2,3,3,4,3,0,2,2
11712,3,1,4,3,3,0,2,2
11718,4,3,3,4,2,0,1,2
11720,2,2,1,1,2,0,1,1
11727,3,3,1,4,3,0,2,1
11728,1,2,3,4,2,0,1,1
11731,3,4,1,3,2,0,2,1
11736,1,1,2,3,1,0,1,1
11741,3,2,4,3,1,0,2,1
11744,3,1,2,2,3,0,2,2
11762,2,3,2,1,2,0,2,1
11777,2,1,3,2,3,0,2,1
11784,2,1,2,3,1,0,1,2
11789,1,4,1,1,2,0,2,2
11791,3,2,2,3,1,0,1,2
11794,2,3,3,4,1,0,2,2
11803,1,3,2,4,1,0,1,1
11810,1,1,4,4,3,0,1,2
11811,1,2,3,4,4,0,2,1
11825,3,4,1,1,4,0,1,1
11828,4,2,1,1,2,0,2,2
11847,1,3,4,4,1,0,1,1
11851,4,3,1,1,4,0,2,1
11859,2,3,2,2,1,0,1,1
11860,4,4,1,1,4,0,2,2
11864,1,1,4,1,2,0,1,1
11875,4,3,4,3,2,0,2,1
11879,2,3,4,3,4,0,2,1
11884,1,1,3,2,3,0,1,1
11893,4,2,2,3,3,0,1,1
11895,1,3,3,4,3,0,2,1
11909,2,4,3,2,3,0,2,2
11917,2,1,1,2,2,0,2,1
11919,1,1,4,3,2,0,2,1
11929,1,3,1,1,3,0,2,1
11939,1,3,1,2,2,0,2,1
11955,1,2,4,4,1,0,2,1
11959,1,2,1,1,1,0,1,1
11960,1,1,4,1,2,0,2,2
11968,3,4,1,2,1,0,2,2
11986,1,3,1,1,4,0,2,2
11991,3,3,2,1,4,0,1,2
11994,2,3,2,2,4,0,2,1
11999,3,4,3,3,3,0,1,2
12002,2,1,3,4,4,0,1,1
12007,2,4,1,1,4,0,2,2
12018,2,2,4,4,1,0,2,2
12021,3,2,4,3,1,0,1,1
12027,1,2,3,3,1,0,1,2
12029,2,1,1,1,2,0,2,1
12035,2,3,3,4,1,0,2,1
12041,1,3,3,1,3,0,2,2
12050,1,2,1,1,1,0,1,1
12056,3,1,3,1,1,0,2,2
12060,4,1,2,3,3,0,1,1
12061,2,3,3,2,4,0,1,1
12063,3,2,1,1,4,0,2,1
12073,3,1,4,4,3,0,2,2
12078,1,4,2,1,4,0,2,1
12081,2,4,2,2,2,0,2,2
12084,1,3,2,4,1,0,1,1
12091,1,1,3,4,3,0,2,2
12094,2,2,1,2,2,0,1,2
12126,1,2,3,1,2,0,1,1
12133,2,2,1,2,4,0,2,1
12136,1,1,3,1,2,0,1,2
12139,2,3,1,4,2,0,2,2
12142,2,3,1,1,3,0,1,1
12186,4,2,3,4,4,0,2,2
12188,2,3,1,1,4,0,1,1
12191,1,2,1,2,3,0,2,2
12194,3,3,4,4,2,0,2,2
12201,1,2,3,4,1,0,1,1
12211,2,2,1,2,4,0,1,2
12213,3,4,4,4,4,0,2,2
12224,3,3,3,4,3,0,2,1
12226,4,1,3,4,4,0,1,1
12237,1,2,3,2,2,0,2,1
12253,2,4,3,1,1,0,1,2
12262,3,3,2,4,2,0,1,1
12263,3,3,3,2,2,0,2,1
12268,3,1,1,1,4,0,1,1
12269,2,1,2,4,3,0,1,1
12270,1,1,3,4,1,0,1,1
12273,1,2,3,3,3,0,2,1
12281,4,3,3,4,4,0,2,2
12282,3,1,4,3,3,0,1,2
12289,1,3,3,3,3,0,1,1
12294,1,3,3,4,3,0,1,1
12297,2,1,2,1,1,0,1,1
12300,3,4,1,1,1,0,2,1
12306,4,4,1,3,1,0,2,2
12308,1,1,1,2,3,0,1,1
12309,1,4,3,1,1,0,1,2
12310,4,3,1,1,4,0,1,1
12312,1,2,1,1,2,0,1,1
12315,3,1,1,2,3,0,1,1
12318,2,3,3,1,2,0,2,1
12321,3,2,2,4,1,0,2,2
12329,4,2,1,1,2,0,1,1
12331,1,3,1,1,4,0,1,1
12334,2,4,4,3,4,0,2,1
12343,2,2,3,1,4,0,1,1
12345,4,3,1,1,4,0,1,2
12358,1,1,2,1,2,0,1,1
12363,4,2,1,1,3,0,2,2
12365,1,3,1,1,2,0,1,1
12367,3,3,1,3,4,0,2,2
12370,4,2,4,3,3,0,2,2
12373,4,2,4,1,3,0,2,1
12377,4,3,1,1,2,0,2,2
12380,2,4,1,2,4,0,2,2
12381,1,1,2,3,1,0,2,1
12388,1,1,1,3,3,0,1,1
12406,3,1,2,1,1,0,1,2
12410,3,3,3,1,3,0,2,2
12437,1,2,1,2,1,0,1,1
12444,2,3,1,1,4,0,1,1
12446,1,2,3,2,1,0,1,1
12447,4,3,1,1,3,0,1,2
12451,4,2,1,1,2,0,1,2
12460,1,2,1,2,2,0,2,2
12462,1,3,2,3,3,0,1,1
12465,1,2,3,1,1,0,2,1
12471,2,3,1,2,2,0,1,1
12483,1,1,4,4,2,0,2,1
12491,4,3,1,1,4,0,1,2
12493,3,3,1,1,4,0,2,1
12496,2,4,1,1,1,0,2,1
12502,1,1,3,3,1,0,1,1
12504,4,3,1,1,2,0,2,2
12519,4,3,3,3,1,0,1,1
12521,2,1,1,2,3,0,1,2
12522,2,1,1,1,3,0,2,1
12532,2,3,1,2,1,0,1,1
12533,1,2,3,2,3,0,2,1
12534,4,3,2,3,3,0,1,1
12537,4,3,4,3,3,0,1,1
12546,3,1,1,2,3,0,1,1
12549,1,3,1,1,2,0,2,2
12553,4,3,1,2,2,0,2,2
12556,3,2,2,1,2,0,2,2
12563,3,2,3,4,3,0,1,2
12568,3,1,4,4,4,0,2,2
12571,2,2,1,3,4,0,1,2
12573,4,4,3,1,4,0,1,1
12575,3,3,3,1,4,0,1,1
12578,4,2,3,4,2,0,2,2
12582,2,1,4,3,1,0,2,1
12587,4,2,2,2,4,0,2,2
12595,3,2,4,3,1,0,1,2
12600,1,1,1,3,3,0,2,1
12601,4,2,1,2,3,0,1,2
12614,3,3,1,1,3,0,2,2
12631,3,1,4,4,1,0,1,1
12635,4,3,1,1,3,0,2,2
12638,3,4,2,2,4,0,2,2
12643,3,4,1,2,2,0,1,1
12644,4,3,2,1,4,0,2,1
12645,3,2,2,3,1,0,2,2
12649,2,3,3,3,4,0,1,2
12652,3,4,3,2,3,0,1,1
12656,2,3,3,1,2,0,2,1
12664,1,4,1,1,1,0,1,1
12675,2,3,3,3,2,0,2,2
12682,2,2,3,3,2,0,2,1
12683,4,4,1,1,3,0,1,1
12693,1,2,2,4,1,0,2,2
12698,3,1,1,1,2,0,1,1
12705,2,1,4,4,3,0,1,1
12706,3,2,1,1,3,0,1,1
12712,1,3,2,2,2,0,2,1
12714,2,3,1,1,2,0,1,2
12723,1,3,3,4,3,0,1,2
12726,1,4,3,3,3,0,2,2
12733,3,3,2,2,1,0,1,2
12737,4,3,3,2,1,0,2,2
12741,2,3,1,1,4,0,1,1
12743,4,1,3,4,1,0,1,1
12760,4,4,2,2,3,0,2,2
12770,4,4,1,3,1,0,2,1
12774,1,4,1,1,4,0,1,1
12783,1,4,1,4,4,0,2,2
12786,4,4,1,2,2,0,2,2
12796,2,2,1,1,2,0,1,2
12806,3,1,2,2,2,0,1,1
12807,4,2,1,2,4,0,2,2
12808,1,4,3,4,4,0,2,1
12809,3,2,3,4,4,0,1,1
12817,3,1,3,4,2,0,2,2
12818,3,4,4,4,2,0,2,2
12823,3,1,4,4,1,0,2,2
12824,1,3,3,2,1,0,1,1
12828,3,2,1,1,4,0,1,1
12829,1,4,1,3,1,0,2,1
12830,3,4,1,2,4,0,1,1
12833,3,2,2,1,2,0,1,2
12840,1,1,1,2,1,0,1,2
12843,3,1,4,4,1,0,1,1
12852,4,1,1,3,1,0,2,1
12853,1,1,3,2,3,0,1,2
12856,4,1,2,4,2,0,1,2
12858,1,2,1,1,4,0,1,2
12865,1,2,3,2,2,0,2,1
12869,1,1,1,2,4,0,2,2
12872,1,3,3,4,3,0,2,1
12874,2,1,2,3,3,0,1,2
12876,1,3,2,2,1,0,2,2
12890,2,3,3,4,3,0,2,1
12894,1,3,3,1,1,0,2,1
12897,1,3,1,2,2,0,1,1
12898,1,3,1,1,1,0,1,1
12903,2,4,1,2,2,0,2,1
12912,2,2,1,2,4,0,1,1
12919,2,1,2,1,4,0,2,2
12922,2,2,1,2,3,0,1,1
12925,3,3,3,3,1,0,2,2
12931,4,4,3,2,3,0,2,2
12939,3,3,3,2,4,0,1,2
12941,3,2,3,3,2,0,2,2
12953,4,3,3,2,4,0,1,1
12961,3,1,4,3,1,0,1,2
12962,1,1,3,2,2,0,1,1
12965,3,2,2,4,1,0,2,1
12967,1,1,3,2,2,0,2,2
12970,4,1,1,1,2,0,1,2
12978,3,4,1,2,4,0,1,1
12988,2,3,3,1,3,0,2,1
12998,4,2,3,4,2,0,1,1
13002,3,1,3,2,3,0,1,2
13009,1,2,4,4,3,0,2,2
13031,1,1,1,1,4,0,1,1
13033,3,1,2,1,1,0,1,2
13042,2,3,1,3,2,0,2,1
13047,3,3,1,2,3,0,1,2
13065,1,2,1,2,4,0,1,1
13070,4,4,2,1,4,0,2,1
13074,3,3,2,3,1,0,2,1
13080,3,1,2,1,2,0,2,1
13081,1,1,4,4,2,0,2,1
13096,3,3,1,1,2,0,1,2
13102,1,2,2,1,1,0,1,1
13111,2,2,1,2,2,0,2,1
13113,4,3,3,3,4,0,1,2
13116,1,2,1,4,1,0,1,1
13121,1,1,3,2,2,0,2,1
13122,1,4,1,1,4,0,1,1
13125,4,4,1,1,2,0,2,2
13141,1,1,4,2,3,0,2,1
13148,3,3,3,3,4,0,1,1
13149,1,2,3,4,2,0,2,1
13153,2,3,3,3,2,0,2,2
13159,1,3,2,2,1,0,2,1
13172,4,3,2,4,2,0,2,2
13180,1,1,1,1,4,0,1,1
13183,2,3,4,2,2,0,2,1
13186,3,3,3,3,2,0,2,2
13198,3,3,1,2,1,0,1,1
13211,2,3,2,2,4,0,1,1
13220,2,4,1,1,4,0,1,2
13229,4,2,1,2,3,0,2,2
13249,4,4,1,1,3,0,2,1
13255,4,4,1,2,1,0,2,1
13260,1,1,4,3,2,0,1,1
13266,2,1,2,1,4,0,1,1
13286,4,2,1,2,4,0,1,2
13287,3,4,1,2,3,0,2,2
13289,2,3,1,3,3,1,2,1
13295,2,1,1,2,3,0,1,1
13297,4,1,1,2,2,0,1,2
13308,3,1,2,1,4,0,1,1
13313,4,1,1,4,4,0,1,1
13317,4,2,2,2,4,0,2,2
13328,2,3,1,3,3,0,2,1
13329,1,3,1,1,2,0,1,1
13331,4,3,1,1,2,0,2,1
13333,4,1,3,3,3,0,1,1
13334,1,2,3,2,1,0,2,1
13335,1,1,4,4,1,0,1,1
13338,4,1,1,1,1,0,1,1
13342,4,3,4,4,1,0,2,2
13343,2,1,3,2,3,0,1,1
13351,3,2,3,3,1,0,1,1
13355,4,1,3,1,3,0,1,1
13359,3,3,4,2,4,0,2,2
13369,1,1,2,4,1,0,1,1
13372,3,2,3,2,1,0,1,1
13382,2,4,3,3,2,0,1,1
13386,3,1,1,1,4,0,1,1
13388,1,2,3,1,3,0,1,2
13389,3,3,1,2,4,1,2,2
13390,4,1,1,4,1,0,1,2
13397,3,2,4,1,3,0,1,1
13400,2,3,1,1,4,0,1,2
13402,1,3,1,2,4,0,1,1
13415,4,2,1,1,2,0,1,1
13420,3,3,4,4,2,0,2,2
13425,1,4,1,2,2,0,1,1
13427,3,4,4,4,2,0,2,2
13432,3,2,2,3,3,0,1,2
13439,1,4,2,1,3,0,2,1
13441,4,2,1,2,4,0,1,2
13444,2,3,4,4,1,0,2,1
13449,3,4,1,1,2,0,1,1
13451,1,3,1,1,3,0,1,1
13452,4,3,1,1,3,0,1,2
13462,3,3,1,1,4,0,1,1
13470,3,2,4,2,3,0,1,1
13471,2,1,2,3,2,0,1,2
13498,2,3,4,2,1,0,1,1
13534,1,2,2,1,3,0,2,2
13537,2,3,1,1,2,0,1,1
13540,2,3,1,1,3,0,2,2
13547,3,4,1,1,4,0,2,2
13551,4,4,4,2,2,0,1,1
13591,3,2,1,2,4,0,2,2
13597,1,2,1,1,4,0,1,1
13601,2,2,4,2,4,0,1,2
13612,2,1,2,2,3,0,1,2
13613,4,3,1,2,3,0,2,2
13615,1,2,3,3,2,0,1,1
13622,1,3,2,3,2,0,2,2
13626,3,3,1,1,2,0,2,2
13631,1,2,2,2,3,0,1,1
13634,1,4,1,3,1,0,2,2
13648,4,4,3,2,2,0,1,2
13650,1,2,2,3,3,0,1,1
13658,4,4,3,2,4,0,2,2
13660,3,4,1,1,3,0,1,1
13670,1,2,1,3,1,0,1,2
13672,1,4,1,1,1,0,1,1
13675,3,2,4,4,3,0,1,2
13681,1,1,4,4,2,0,2,1
13683,3,3,1,4,4,0,1,1
13685,2,2,1,2,3,0,1,2
13686,2,3,2,1,1,0,1,2
13696,1,2,3,2,3,0,1,2
13697,2,3,1,2,3,0,1,1
13701,4,2,1,3,4,0,1,1
13704,3,4,1,3,1,0,1,1
13744,3,4,1,4,3,0,1,1
13745,1,1,4,2,1,0,1,2
13749,2,3,3,2,1,0,2,1
13752,4,4,1,3,4,0,2,2
13754,1,4,2,4,1,0,2,1
13762,1,3,2,2,2,0,1,1
13765,2,3,3,2,3,0,2,2
13768,2,1,3,1,4,0,1,1
13777,1,4,2,3,3,0,1,1
13778,2,4,1,2,4,1,2,2
13780,3,2,4,4,1,0,2,1
13785,1,4,3,1,2,0,2,2
13792,1,1,2,2,2,0,1,1
13795,1,4,4,1,3,0,2,1
13802,1,2,4,3,1,0,1,2
13824,4,3,1,1,2,0,1,1
13847,1,3,3,1,4,0,2,1
13852,1,3,4,4,2,0,2,1
13854,3,3,3,2,3,0,2,1
13855,1,4,3,3,1,0,1,2
13856,3,3,4,4,4,0,2,1
13861,1,2,3,4,3,0,2,1
13863,1,4,2,4,3,0,2,2
13869,1,1,2,1,3,0,2,1
13870,4,2,3,3,4,0,2,1
13874,4,2,3,2,4,0,2,1
13880,3,3,4,3,1,0,2,2
13882,1,2,2,4,1,0,1,1
13884,2,4,4,4,1,0,1,2
13889,4,4,3,1,3,0,2,1
13891,2,3,1,1,3,0,2,2
13906,1,2,1,1,3,0,1,1
13908,1,4,4,4,1,0,2,1
13910,4,3,3,2,2,0,1,1
13911,4,3,3,3,4,0,2,2
13920,1,2,1,1,3,0,1,1
13928,3,3,1,1,4,0,1,2
13953,1,3,2,3,3,0,1,2
13956,3,2,1,1,3,0,1,1
13966,1,3,2,1,2,0,2,1
13968,4,2,1,3,4,0,2,2
13969,3,3,2,3,3,0,1,1
13971,1,3,1,1,1,0,2,1
13979,2,3,3,2,4,0,1,2
13981,2,4,1,2,2,0,1,1
13989,2,4,1,2,2,0,1,1
13991,2,4,2,1,3,0,2,1
14000,2,1,1,4,4,0,2,1
14008,2,2,3,3,3,0,1,1
14010,2,3,3,4,1,0,2,2
14012,3,4,1,2,3,0,1,1
14016,4,4,2,1,4,0,2,1
14017,4,1,1,1,4,0,1,2
14025,3,4,2,1,4,0,2,1
14030,1,3,4,1,2,0,2,2
14032,4,4,3,4,3,0,2,2
14033,3,4,1,2,3,0,2,2
14034,2,2,4,3,4,0,1,1
14042,2,1,1,1,3,0,1,1
14047,1,2,4,3,1,0,1,2
14050,1,1,1,4,3,0,2,1
14052,4,4,1,2,3,0,1,1
14054,3,4,1,1,2,0,1,1
14061,4,1,1,1,3,0,1,2
14062,2,4,1,1,2,0,1,1
14067,1,1,1,2,2,0,1,1
14072,1,3,2,4,4,0,1,1
14074,2,2,1,3,4,0,2,2
14084,1,4,1,1,4,0,2,1
14091,1,1,3,3,2,0,1,1
14096,2,4,2,4,2,0,1,1
14112,1,3,1,1,3,0,1,1
14116,1,2,3,4,1,0,2,1
14122,3,3,1,4,3,0,1,2
14125,3,2,1,4,1,0,2,1
14139,4,3,3,2,1,0,2,2
14141,3,3,2,1,2,0,2,2
14147,3,3,3,2,3,0,2,2
14148,2,2,4,3,4,0,2,1
14163,2,1,2,3,1,0,2,2
14177,4,4,1,2,4,0,2,1
14181,1,1,3,4,1,0,1,1
14182,1,4,1,2,4,0,1,1
14184,3,1,1,3,2,0,1,1
14188,3,2,1,3,4,0,2,1
14198,1,4,2,2,2,0,1,2
14200,1,2,3,2,3,0,1,1
14229,2,3,1,1,4,0,2,2
14230,3,4,2,1,2,0,1,1
14231,3,1,1,3,3,0,1,1
14234,2,1,4,4,4,0,1,1
14238,3,2,4,3,2,0,1,1
14254,2,4,4,2,3,0,1,1
14255,1,3,3,3,1,0,2,2
14257,4,1,2,2,1,0,2,2
14259,1,1,1,2,4,0,1,2
14263,4,4,1,1,4,0,2,2
14266,1,2,2,1,1,0,1,1
14269,4,4,2,3,1,0,2,2
14280,4,3,3,4,3,0,2,1
14316,3,4,3,3,4,0,2,2
14325,2,3,1,1,2,0,1,2
14341,2,3,1,1,2,0,1,2
14344,3,4,1,1,4,0,2,2
14346,1,2,3,2,2,0,1,1
14348,1,3,2,3,4,0,2,1
14355,1,3,4,4,1,0,2,1
14372,2,3,2,2,1,0,2,2
14383,4,3,1,1,4,0,2,1
14387,3,1,3,3,1,0,1,1
14390,3,2,4,3,4,0,1,1
14391,3,4,2,3,2,0,2,2
14404,3,2,2,1,4,0,1,1
14407,1,1,3,1,3,0,2,1
14427,3,1,4,3,4,0,2,1
14443,1,3,1,3,3,0,1,2
14444,3,2,1,3,4,0,2,2
14446,3,3,3,1,4,0,1,1
14452,1,3,2,1,1,0,2,1
14453,3,2,2,3,2,0,2,1
14457,1,3,2,2,3,0,2,2
14500,3,4,3,4,1,0,1,1
14515,4,1,1,1,2,0,1,2
14526,4,2,1,1,4,0,2,1
14536,4,1,3,3,4,0,2,2
14537,1,2,2,4,3,0,2,2
14541,3,2,2,4,1,0,1,2
14554,1,2,3,1,2,0,2,1
14565,4,3,1,1,4,0,2,2
14572,2,1,3,1,4,0,1,1
14582,1,4,3,4,1,0,2,2
14588,1,1,1,3,1,0,1,1
14601,2,4,3,1,3,0,2,1
14602,2,2,2,2,2,0,1,1
14609,4,3,1,2,3,0,1,1
14615,3,3,1,1,4,0,2,2
14618,1,1,4,1,4,0,1,1
14621,1,2,1,1,2,0,1,2
14627,1,3,1,1,4,0,2,1
14662,3,3,4,4,1,0,1,1
14666,4,3,4,2,2,0,1,1
14670,2,2,4,2,1,0,2,1
14673,4,3,4,3,3,0,2,1
14683,3,2,3,2,3,0,2,1
14713,3,4,1,1,2,0,2,1
14718,3,2,3,1,4,0,2,1
14720,3,1,1,1,3,0,1,1
14724,4,2,3,4,4,0,2,2
14730,1,3,4,4,1,0,2,2
14740,2,4,1,3,3,0,1,1
14744,1,3,2,1,3,0,1,1
14761,1,3,3,1,3,0,2,1
14771,1,2,3,2,1,0,2,1
14787,2,4,1,1,3,0,1,2
14792,3,4,3,1,4,0,2,1
14796,4,3,3,2,4,0,2,1
14802,1,2,3,2,3,0,1,1
14803,1,4,4,1,2,0,1,1
14811,4,4,2,2,4,0,1,1
14822,4,4,3,3,1,0,2,2
14825,4,3,1,1,3,0,1,1
14833,2,2,4,3,3,0,1,1
14835,2,2,1,2,4,0,2,1
14837,3,3,3,3,3,0,2,1
14845,1,4,1,1,2,0,2,1
14847,1,3,3,3,1,0,2,2
14851,2,2,2,1,3,0,2,1
14861,1,2,3,3,2,0,1,1
14865,3,3,2,3,4,0,1,1
14867,2,1,1,2,4,0,1,1
14874,1,2,3,3,4,0,2,1
14887,1,2,1,1,3,0,2,1
14898,2,2,4,4,1,0,2,1
14904,1,4,1,1,3,0,2,2
14926,1,1,4,4,1,0,1,1
14929,1,1,4,4,1,0,1,2
14934,3,1,1,1,4,0,2,1
14935,1,4,3,4,1,0,2,1
14936,1,4,4,2,2,0,2,1
14953,1,1,3,3,1,0,2,1
14954,1,2,1,1,4,0,1,2
14955,1,1,1,1,4,0,2,1
14971,3,4,1,1,4,0,2,1
14980,3,3,2,1,2,0,1,2
14983,4,1,3,4,1,0,2,2
14992,2,3,1,1,2,0,1,2
14998,4,4,1,3,2,0,2,1
14999,4,3,1,1,4,0,1,1
15002,3,3,3,3,1,0,2,1
15018,3,2,4,4,1,1,2,2
15023,2,2,4,4,3,0,2,2
15071,1,4,1,2,3,1,2,1
15073,4,2,4,3,1,0,2,2
