CASE,sexdrive2,meffort,socialanx,lon,mvalue,attr,CSBD,PPCS_6
2127,3,3,1,1,3,0,2,2
2128,1,4,1,1,4,0,2,1
2135,1,2,1,1,3,0,1,2
2137,2,2,1,2,3,0,2,2
2148,2,3,1,1,1,0,1,1
2154,1,3,2,1,1,1,2,2
2156,1,4,1,1,3,0,2,1
2167,3,4,1,1,4,0,1,1
2168,1,3,1,3,1,0,2,2
2170,2,1,1,1,4,0,1,2
2171,4,4,1,1,1,0,1,1
2179,2,4,1,3,2,0,2,1
2181,1,1,4,4,1,0,1,1
2185,2,3,1,1,3,0,2,1
2190,3,1,2,2,1,0,1,1
2192,1,1,3,2,2,0,1,1
2193,1,1,3,3,1,0,2,1
2197,3,3,2,1,2,0,1,1
2200,2,1,1,1,1,0,1,1
2203,2,4,3,4,4,0,2,2
2204,1,3,3,3,2,0,2,1
2205,1,4,4,1,2,0,2,2
2211,1,4,1,2,4,0,2,1
2213,2,3,2,3,3,0,1,2
2215,3,3,1,2,3,0,1,1
2217,1,1,2,3,2,0,2,1
2218,3,4,4,3,1,0,2,1
2223,1,4,4,4,1,0,2,1
2227,4,2,4,4,1,0,1,2
2230,1,4,3,1,2,0,1,1
2231,4,2,3,1,3,0,2,1
2232,2,4,1,1,3,0,2,1
2233,2,1,1,4,1,0,2,1
2242,2,3,4,4,2,0,2,2
2247,4,4,3,2,1,0,2,2
2250,1,3,3,2,1,0,1,2
2255,2,3,4,3,4,0,2,2
2257,1,4,4,3,2,0,1,1
2258,1,3,1,2,2,0,2,2
2261,1,4,1,1,4,0,1,1
2262,3,4,1,1,4,0,1,2
2264,1,3,3,2,1,0,2,1
2272,3,4,1,3,1,0,2,2
2286,1,2,1,1,2,0,1,1
2295,3,3,1,2,1,0,2,1
2296,4,2,1,1,2,0,1,1
2300,3,1,4,2,1,0,1,2
2301,2,2,4,2,1,0,1,1
2302,4,2,2,3,1,0,2,2
2303,1,1,1,3,2,0,1,1
2304,1,3,4,3,3,0,2,2
2305,3,3,1,1,4,0,1,2
2311,3,2,4,1,3,0,2,1
2315,1,4,1,1,2,0,2,1
2317,4,3,1,2,1,0,1,1
2319,1,2,4,3,1,0,1,1
2322,3,4,3,1,1,1,1,1
2324,2,1,2,1,3,0,1,2
2330,3,4,2,3,2,0,2,1
2335,3,3,4,3,4,0,2,1
2340,1,1,1,1,3,0,1,1
2341,3,1,1,1,2,0,1,1
2348,3,1,3,3,2,0,1,2
2358,3,4,2,1,4,0,2,2
2368,1,4,3,3,1,0,2,2
2369,2,1,3,2,2,0,1,1
2380,2,4,4,3,1,0,2,2
2384,3,3,4,3,2,0,1,1
2389,1,2,3,4,1,0,1,1
2400,3,4,1,2,1,0,1,1
2402,3,2,4,4,3,0,1,1
2403,1,3,3,3,3,0,1,2
2407,4,3,1,1,3,0,1,1
2408,1,2,3,4,1,0,1,2
2412,2,3,4,2,2,0,1,2
2416,4,3,2,1,3,0,2,1
2419,4,4,1,3,2,0,1,2
2420,3,4,1,2,1,0,1,2
2433,4,4,3,3,3,0,1,1
2445,4,4,2,1,2,0,2,1
2449,2,2,1,1,1,0,1,1
2462,4,2,2,2,4,0,1,1
2495,2,4,2,1,3,0,1,1
2503,3,2,1,1,3,0,2,1
2513,2,2,1,1,1,0,2,1
2514,1,4,1,4,3,0,2,2
2517,1,4,1,2,2,0,2,1
2523,3,2,1,3,2,0,1,1
2525,3,2,3,3,4,0,2,2
2538,1,3,2,1,1,0,1,1
2539,1,3,4,3,1,1,2,1
2547,2,3,1,4,2,0,1,1
2552,1,4,3,2,2,0,1,1
2553,2,3,3,3,1,0,1,1
2555,2,1,1,1,3,0,1,1
2580,3,4,1,3,3,1,2,2
2585,1,3,3,1,2,0,1,1
2596,4,1,1,2,4,0,1,2
2597,1,3,1,2,1,0,2,2
2614,1,2,1,3,2,0,2,1
2621,2,3,1,1,2,0,1,2
2636,3,4,1,1,2,0,2,2
2637,1,2,2,4,2,0,1,2
2654,1,2,3,1,1,0,1,1
2658,1,4,2,2,2,0,2,2
2661,4,2,3,4,1,0,2,2
2691,2,1,3,3,3,0,1,1
2769,2,4,2,1,2,0,1,2
2789,1,3,1,1,4,0,2,1
2868,2,2,1,1,3,0,1,1
2903,2,2,1,2,4,0,1,1
2912,2,2,2,3,1,0,1,1
2918,1,3,2,3,4,0,1,1
2919,3,1,2,1,1,0,1,1
2923,4,2,3,2,3,0,1,1
2942,2,1,2,2,3,0,1,2
2952,2,2,2,1,3,0,2,1
2954,1,1,2,2,3,0,2,1
2955,1,2,1,4,3,0,1,1
2960,1,2,4,4,1,0,1,1
2987,1,2,2,4,3,0,2,1
2989,3,4,1,1,4,0,1,2
3014,3,4,2,3,1,0,2,2
3021,1,1,3,2,2,0,1,2
3026,1,2,3,3,2,0,2,2
3030,1,2,4,3,1,0,1,1
3036,1,1,3,3,1,0,1,1
3037,1,3,1,1,4,0,1,1
3042,3,2,1,3,4,0,1,1
3112,3,1,1,3,3,0,1,1
3114,4,1,1,1,2,0,2,2
3123,1,1,1,1,2,0,1,1
3125,4,4,1,2,4,0,2,1
3130,3,4,1,1,4,0,2,2
3152,2,3,3,4,4,0,2,2
3154,2,2,1,3,2,0,2,1
3162,1,2,2,4,1,0,1,1
3169,1,2,4,1,4,0,1,1
3173,2,1,2,1,2,0,1,1
3189,1,2,3,4,1,0,1,2
3192,1,4,1,1,3,0,1,2
3215,4,4,2,4,4,0,2,2
3227,4,4,1,1,4,0,1,1
3239,2,4,1,3,4,0,1,2
3243,1,2,3,1,2,0,2,2
3317,1,1,4,4,1,0,1,1
3331,1,1,4,4,1,0,2,1
3375,3,1,4,3,1,0,2,1
3395,3,1,1,1,4,0,1,1
3638,2,1,4,4,1,0,2,2
3647,1,1,1,1,1,0,1,1
3752,3,1,3,2,2,0,1,1
3761,2,1,4,4,2,0,2,1
3768,4,1,3,3,1,0,1,2
3851,4,1,4,4,1,0,1,2
3952,1,1,3,4,3,0,1,1
3979,1,1,4,3,2,0,2,2
4079,2,1,3,3,1,0,2,2
4086,1,1,2,3,1,0,1,2
4090,2,1,3,2,3,0,2,2
4100,1,1,2,3,2,0,1,2
4141,3,1,3,3,2,0,1,1
4160,2,1,3,1,3,0,1,1
4321,2,1,4,4,1,0,1,1
4344,4,1,3,4,2,0,1,2
4363,2,1,4,4,3,0,1,2
4373,2,2,3,2,1,0,2,2
4401,1,3,1,1,3,0,2,1
4428,1,1,4,4,4,0,1,1
4449,2,2,3,3,2,0,2,2
4493,4,1,4,4,2,0,2,2
4597,1,4,4,4,1,0,2,2
4652,4,1,4,1,3,0,1,1
4683,1,2,4,4,2,0,1,1
4686,3,2,4,4,4,0,1,1
